time,open,high,low,close,tick_volume,spread,real_volume,volume
2025.01.24 13:00,22009.73,22042.93,22007.97,22031.18,6042.0,0,0,
2025.01.24 14:00,22030.69,22031.23,21995.72,22010.44,6795.0,0,0,
2025.01.24 15:00,22009.97,22077.18,21999.19,22056.71,16163.0,0,0,
2025.01.24 16:00,22058.96,22068.96,21978.43,21985.72,17886.0,0,0,
2025.01.24 17:00,21985.98,22035.2,21970.22,21982.46,14583.0,0,0,
2025.01.24 18:00,21980.45,22007.67,21930.97,21941.42,14423.0,0,0,
2025.01.24 19:00,21940.96,21951.69,21861.91,21866.47,15438.0,0,0,
2025.01.24 20:00,21867.22,21893.88,21843.59,21867.87,15020.0,0,0,
2025.01.24 21:00,21867.38,21918.36,21857.38,21907.87,14582.0,0,0,
2025.01.27 00:00,21769.78,21769.78,21632.58,21665.31,9633.0,0,0,
2025.01.27 01:00,21665.32,21672.24,21567.76,21581.82,7217.0,0,0,
2025.01.27 02:00,21583.52,21615.0,21488.08,21527.53,10989.0,0,0,
2025.01.27 03:00,21527.7,21540.36,21499.04,21522.54,7193.0,0,0,
2025.01.27 04:00,21522.45,21562.21,21513.04,21524.02,6354.0,0,0,
2025.01.27 05:00,21523.82,21530.11,21472.77,21497.07,6385.0,0,0,
2025.01.27 06:00,21496.77,21506.34,21411.03,21431.78,8316.0,0,0,
2025.01.27 07:00,21433.02,21439.25,21356.52,21387.82,8689.0,0,0,
2025.01.27 08:00,21388.77,21411.45,21282.67,21283.98,11092.0,0,0,
2025.01.27 09:00,21287.21,21311.42,21193.18,21242.73,15175.0,0,0,
2025.01.27 10:00,21241.47,21268.18,21153.92,21163.48,14653.0,0,0,
2025.01.27 11:00,21163.22,21169.98,20763.72,20886.69,17627.0,0,0,
2025.01.27 12:00,20887.43,21031.19,20878.17,20999.18,13792.0,0,0,
2025.01.27 13:00,21001.98,21105.16,21001.98,21081.94,10910.0,0,0,
2025.01.27 14:00,21081.98,21173.48,21033.17,21158.67,13425.0,0,0,
2025.01.27 15:00,21158.43,21339.71,21103.19,21330.21,19781.0,0,0,
2025.01.27 16:00,21329.71,21416.43,21227.96,21311.22,22407.0,0,0,
2025.01.27 17:00,21312.69,21325.15,21185.21,21208.97,21035.0,0,0,
2025.01.27 18:00,21209.97,21265.47,21140.21,21141.46,19668.0,0,0,
2025.01.27 19:00,21141.98,21216.18,21138.67,21150.48,18133.0,0,0,
2025.01.27 20:00,21150.93,21259.59,21096.36,21132.37,19169.0,0,0,
2025.01.27 21:00,21131.34,21263.62,21127.08,21257.34,19709.0,0,0,
2025.01.27 22:00,21257.59,21329.11,21250.63,21304.13,9627.0,0,0,
2025.01.28 00:00,21338.65,21354.57,21245.79,21326.82,7358.0,0,0,
2025.01.28 01:00,21326.07,21340.06,21269.52,21284.27,5901.0,0,0,
2025.01.28 02:00,21284.54,21325.56,21227.82,21236.04,5427.0,0,0,
2025.01.28 03:00,21236.04,21307.81,21219.32,21290.79,5605.0,0,0,
2025.01.28 04:00,21290.87,21331.11,21282.54,21288.97,4620.0,0,0,
2025.01.28 05:00,21289.06,21304.06,21275.06,21301.32,4164.0,0,0,
2025.01.28 06:00,21301.58,21314.08,21248.08,21291.79,3789.0,0,0,
2025.01.28 07:00,21292.27,21311.83,21264.27,21290.33,4302.0,0,0,
2025.01.28 08:00,21290.32,21350.47,21272.94,21336.21,5604.0,0,0,
2025.01.28 09:00,21339.47,21397.9,21288.92,21393.94,9211.0,0,0,
2025.01.28 10:00,21394.67,21403.98,21344.69,21394.97,8851.0,0,0,
2025.01.28 11:00,21395.43,21422.72,21388.73,21391.21,7437.0,0,0,
