time,open,high,low,close,tick_volume,spread,real_volume,volume
2017.07.28 00:00,5899.15,5917.41,5849.65,5907.99,45861.0,0,0,
2017.07.31 00:00,5906.21,5932.65,5869.85,5884.42,39365.0,0,0,
2017.08.01 00:00,5876.31,5930.57,5875.21,5929.9,34857.0,0,0,
2017.08.02 00:00,5929.32,5946.83,5855.92,5913.92,47302.0,0,0,
2017.08.03 00:00,5912.21,5923.16,5876.96,5888.16,36878.0,0,0,
2017.08.04 00:00,5889.21,5911.48,5873.9,5897.24,34837.0,0,0,
2017.08.07 00:00,5899.21,5937.07,5899.16,5936.16,22677.0,0,0,
2017.08.08 00:00,5931.9,5971.96,5907.73,5913.9,31239.0,0,0,
2017.08.09 00:00,5907.28,5923.83,5861.47,5923.44,50732.0,0,0,
2017.08.10 00:00,5918.67,5921.83,5766.93,5771.16,57584.0,0,0,
2017.08.11 00:00,5771.22,5845.12,5760.46,5831.48,57867.0,0,0,
2017.08.14 00:00,5847.81,5916.12,5845.97,5913.2,36773.0,0,0,
2017.08.15 00:00,5912.96,5940.19,5895.1,5913.18,36952.0,0,0,
2017.08.16 00:00,5913.4,5948.73,5901.47,5919.95,38369.0,0,0,
2017.08.17 00:00,5913.91,5923.4,5786.03,5792.95,57967.0,0,0,
2017.08.18 00:00,5791.78,5834.66,5772.22,5794.15,57124.0,0,0,
2017.08.21 00:00,5811.94,5815.78,5751.98,5795.91,47554.0,0,0,
2017.08.22 00:00,5796.9,5881.54,5796.19,5879.81,31204.0,0,0,
2017.08.23 00:00,5879.96,5879.96,5841.06,5843.21,37669.0,0,0,
2017.08.24 00:00,5842.96,5873.62,5803.18,5845.28,50414.0,0,0,
2017.08.25 00:00,5843.98,5873.41,5816.11,5823.66,42308.0,0,0,
2017.08.28 00:00,5812.43,5855.47,5801.41,5845.42,42830.0,0,0,
2017.08.29 00:00,5799.02,5874.86,5776.87,5868.95,66086.0,0,0,
2017.08.30 00:00,5866.46,5943.41,5862.9,5934.56,35955.0,0,0,
2017.08.31 00:00,5933.77,5997.15,5933.58,5995.31,35189.0,0,0,
2017.09.01 00:00,5998.19,6019.18,5972.94,5988.1,35557.0,0,0,
2017.09.04 00:00,5958.9,5981.65,5946.22,5977.36,24617.0,0,0,
2017.09.05 00:00,5972.19,5984.16,5889.21,5940.68,52807.0,0,0,
2017.09.06 00:00,5937.41,5965.15,5908.98,5951.45,50257.0,0,0,
2017.09.07 00:00,5939.19,5980.87,5938.92,5968.96,46100.0,0,0,
2017.09.08 00:00,5976.16,5976.58,5914.97,5920.98,37258.0,0,0,
2017.09.11 00:00,5950.7,5999.68,5948.17,5991.66,30551.0,0,0,
2017.09.12 00:00,5992.47,6011.48,5974.96,6007.47,40878.0,0,0,
2017.09.13 00:00,6006.62,6011.33,5983.1,6009.83,29894.0,0,0,
2017.09.14 00:00,6007.46,6008.06,5968.53,5970.56,27834.0,0,0,
2017.09.15 00:00,5960.79,6015.01,5953.19,5991.66,39608.0,0,0,
2017.09.18 00:00,5997.02,6017.19,5966.99,5987.33,28170.0,0,0,
2017.09.19 00:00,5989.06,6003.96,5974.61,5992.92,32748.0,0,0,
2017.09.20 00:00,5989.81,5999.73,5930.12,5976.17,42756.0,0,0,
2017.09.21 00:00,5975.6,5978.44,5918.61,5942.91,36007.0,0,0,
2017.09.22 00:00,5942.03,5944.29,5910.79,5935.02,33449.0,0,0,
2017.09.25 00:00,5933.06,5953.58,5841.74,5878.57,46275.0,0,0,
2017.09.26 00:00,5877.9,5911.9,5862.08,5890.41,40202.0,0,0,
2017.09.27 00:00,5891.65,5962.22,5885.9,5937.06,38458.0,0,0,
2017.09.28 00:00,5932.9,5947.65,5911.14,5939.33,31336.0,0,0,
2017.09.29 00:00,5936.83,5984.14,5932.75,5980.6,27318.0,0,0,
2017.10.02 00:00,5984.15,6009.14,5957.85,5985.08,30966.0,0,0,
2017.10.03 00:00,5982.33,6004.09,5978.16,5997.78,25519.0,0,0,
2017.10.04 00:00,5995.82,6014.75,5979.27,6004.19,26110.0,0,0,
2017.10.05 00:00,6003.28,6067.32,6000.27,6062.2,25203.0,0,0,
2017.10.06 00:00,6060.66,6070.77,6037.21,6066.76,24660.0,0,0,
2017.10.09 00:00,6067.32,6083.15,6054.39,6061.45,22651.0,0,0,
2017.10.10 00:00,6061.92,6087.88,6038.94,6064.67,30938.0,0,0,
2017.10.11 00:00,6063.46,6085.49,6052.94,6082.54,24977.0,0,0,
2017.10.12 00:00,6081.79,6096.26,6064.16,6073.4,23725.0,0,0,
2017.10.13 00:00,6072.07,6103.19,6068.06,6095.77,22629.0,0,0,
2017.10.16 00:00,6104.92,6120.83,6097.49,6119.42,21579.0,0,0,
2017.10.17 00:00,6117.21,6124.77,6104.75,6121.06,20295.0,0,0,
2017.10.18 00:00,6122.08,6132.13,6107.7,6118.65,20349.0,0,0,
2017.10.19 00:00,6118.77,6121.32,6050.74,6098.27,37519.0,0,0,
2017.10.20 00:00,6093.96,6129.07,6090.02,6107.76,27974.0,0,0,
2017.10.23 00:00,6117.7,6123.75,6060.49,6065.15,26456.0,0,0,
2017.10.24 00:00,6065.67,6091.74,6056.46,6073.16,29663.0,0,0,
2017.10.25 00:00,6072.07,6086.71,6010.95,6065.82,43299.0,0,0,
2017.10.26 00:00,6062.94,6095.4,6034.69,6088.45,40963.0,0,0,
2017.10.27 00:00,6091.71,6224.98,6078.65,6212.02,40533.0,0,0,
2017.10.29 00:00,6210.03,6219.83,6210.03,6211.31,620.0,0,0,
2017.10.30 00:00,6211.4,6250.7,6201.86,6220.46,38886.0,0,0,
2017.10.31 00:00,6220.4,6257.98,6219.9,6250.78,25401.0,0,0,
2017.11.01 00:00,6250.7,6283.88,6223.1,6230.46,39057.0,0,0,
2017.11.02 00:00,6230.15,6262.03,6192.21,6252.19,47192.0,0,0,
2017.11.03 00:00,6252.45,6296.11,6235.49,6288.22,32409.0,0,0,
2017.11.06 00:00,6290.58,6316.91,6267.52,6312.46,32536.0,0,0,
2017.11.07 00:00,6311.42,6330.79,6296.21,6314.15,36132.0,0,0,
